N,P,K,temperature,humidity,ph,rainfall,label
17.48,13.9,10.09,20.23,92.99,6.79,117.03,orange
15.96,16.92,45.37,18.7,88.94,6.62,69.17,pomegranate
18.0,63.82,27.69,21.67,14.33,5.82,114.96,kidneybeans
104.0,20.29,51.86,27.99,87.88,6.35,38.06,watermelon
18.31,46.8,19.36,31.66,78.54,6.32,63.54,mungbean
38.58,68.36,23.37,30.91,67.07,7.7,45.22,blackgram
99.17,50.32,32.52,27.1,82.58,6.99,237.7,rice
77.14,38.24,26.17,25.85,91.55,5.7,257.52,rice
109.17,38.53,10.96,25.98,79.13,6.4,63.47,cotton
94.9,49.52,12.94,25.26,76.89,6.48,95.99,cotton
7.54,56.76,18.32,23.14,53.06,5.36,236.6,pigeonpeas
33.0,22.48,10.05,24.6,87.09,8.01,101.15,orange
51.91,58.81,25.55,27.36,54.31,7.46,87.36,blackgram
15.37,72.98,22.22,25.93,51.45,7.4,37.45,lentil
115.71,90.63,49.84,21.09,77.43,5.59,85.43,banana
13.85,27.69,38.56,33.24,51.83,5.64,100.38,mango
74.34,57.64,29.52,19.32,69.78,6.65,76.07,maize
22.47,145.4,178.42,23.36,91.98,6.24,126.72,apple
10.4,12.98,27.36,16.73,90.71,5.22,78.38,pomegranate
22.24,28.0,39.26,31.49,46.77,5.8,97.35,mango
119.36,46.69,16.74,25.65,70.69,6.69,70.3,cotton
32.15,55.39,25.24,25.1,84.52,6.55,32.92,mungbean
21.15,55.28,30.17,34.59,49.57,6.41,157.01,pigeonpeas
38.4,73.71,81.13,16.74,14.4,6.9,101.52,chickpea
21.87,111.3,198.25,22.46,91.74,5.67,98.8,apple
106.38,38.68,26.78,26.55,60.45,7.32,174.41,coffee
30.6,68.4,8.2,22.53,46.14,5.99,147.74,pigeonpeas
76.66,45.32,34.3,25.54,89.05,6.5,164.16,jute
88.8,54.32,38.61,21.98,80.98,6.33,137.75,jute
67.02,39.9,46.17,21.34,86.47,6.56,155.69,jute
62.98,48.13,38.91,32.99,85.52,7.19,175.52,papaya
25.57,72.79,13.83,30.54,66.55,6.83,60.46,lentil
16.46,118.52,211.01,19.39,84.26,6.34,56.81,grapes
83.41,60.07,23.93,24.37,83.3,6.79,185.52,rice
13.3,9.91,11.59,20.11,87.29,7.39,130.93,orange
16.22,50.7,23.51,27.7,84.66,6.91,44.53,mungbean
14.32,25.91,31.69,30.45,54.68,5.94,131.65,mango
11.14,72.52,23.75,17.91,24.49,5.83,94.22,kidneybeans
17.81,132.77,204.99,25.68,82.95,5.39,55.92,grapes
11.56,61.35,17.92,32.36,84.53,5.78,61.38,mungbean
14.86,23.33,14.37,23.57,90.65,6.65,101.13,orange
10.31,62.88,20.79,25.18,45.81,5.75,146.76,pigeonpeas
118.09,72.63,36.28,29.36,82.93,6.53,121.01,banana
73.77,53.33,62.71,24.36,83.24,6.17,201.01,rice
31.0,74.79,19.77,25.33,27.74,5.16,226.46,pigeonpeas
35.0,18.58,46.7,21.7,92.0,6.19,111.9,pomegranate
92.87,38.88,24.36,24.53,48.27,6.26,198.68,coffee
81.72,17.7,51.91,29.77,97.35,5.85,24.48,muskmelon
27.26,77.48,21.93,26.8,63.87,7.9,79.0,blackgram
54.96,73.83,55.64,34.62,92.88,6.1,118.88,papaya
43.1,58.14,49.39,33.16,99.57,6.85,94.1,papaya
19.87,1.78,42.04,19.96,89.7,6.18,124.14,pomegranate
24.66,81.56,24.23,22.37,21.5,6.41,113.2,kidneybeans
45.46,67.06,74.64,18.67,15.56,7.11,74.82,chickpea
22.11,36.14,14.79,28.29,91.62,6.57,44.46,mungbean
22.05,45.58,17.15,25.52,80.88,6.02,46.86,mungbean
20.42,23.1,28.04,35.0,47.54,5.98,105.83,mango
22.83,48.42,23.62,28.19,54.39,6.43,164.7,pigeonpeas
107.39,8.96,47.76,27.75,93.42,5.31,26.66,muskmelon
21.0,12.62,25.93,30.04,35.0,5.22,55.38,mango
17.13,38.34,18.95,29.47,52.91,6.98,86.27,mothbeans
36.1,72.57,11.99,28.94,32.53,6.45,131.16,pigeonpeas
92.73,14.17,56.49,26.69,94.75,6.89,10.0,muskmelon
92.41,47.13,54.54,23.47,95.6,6.71,200.71,rice
14.67,34.68,33.77,16.94,92.94,5.15,103.29,pomegranate
94.81,25.08,44.73,27.36,90.38,6.37,19.17,muskmelon
14.82,75.3,25.4,28.8,59.83,5.09,216.69,pigeonpeas
28.05,159.39,181.83,18.15,91.26,5.29,113.69,apple
10.84,53.69,24.03,29.15,79.03,6.82,30.25,mungbean
88.66,44.97,43.71,22.79,82.43,6.32,281.71,rice
13.6,69.55,14.63,18.78,15.03,6.03,122.17,kidneybeans
16.54,127.93,185.4,21.55,95.23,5.9,125.89,apple
72.92,57.89,40.64,21.84,78.42,6.74,205.79,rice
21.16,27.36,30.64,29.72,49.54,6.36,97.28,mango
62.29,81.02,60.68,31.45,89.91,6.64,189.61,papaya
24.7,36.21,21.03,30.01,68.28,7.33,65.22,mothbeans
109.7,59.8,23.36,25.65,86.13,7.11,98.57,cotton
16.23,4.48,42.02,20.18,93.88,5.74,95.62,pomegranate
4.6,78.59,17.98,28.7,59.97,4.98,121.62,pigeonpeas
52.13,53.04,54.23,34.09,95.47,7.09,157.28,papaya
19.32,60.44,21.16,23.35,57.49,7.57,59.93,lentil
98.64,46.5,21.0,22.48,65.12,5.75,41.8,maize
50.73,63.35,70.61,15.87,10.0,8.33,57.94,chickpea
83.23,17.69,53.98,29.03,95.2,6.09,19.67,muskmelon
123.52,39.14,11.07,22.14,76.25,7.11,103.04,cotton
16.41,68.02,29.29,16.28,12.19,5.78,106.02,kidneybeans
31.49,61.19,84.89,24.01,17.97,6.7,88.89,chickpea
17.56,32.16,18.75,31.62,75.84,6.17,49.89,mungbean
85.12,14.91,30.68,26.59,57.13,6.59,171.61,coffee
90.1,34.27,37.29,23.15,60.46,7.53,170.38,coffee
17.43,16.05,11.21,20.23,92.58,6.94,108.59,orange
86.91,17.84,32.71,26.45,88.3,6.87,39.07,watermelon
15.46,11.69,10.39,21.32,93.95,6.82,135.78,orange
21.51,139.2,217.07,19.74,89.01,4.75,58.47,grapes
85.87,17.66,31.87,23.94,50.16,6.29,164.02,coffee
30.52,69.13,26.16,31.42,42.36,5.31,153.13,pigeonpeas
15.24,21.45,27.3,31.15,59.55,5.13,88.6,mango
19.92,143.35,180.07,20.3,87.09,5.8,131.17,apple
20.93,24.61,30.71,31.3,45.37,5.35,86.03,mango
12.47,33.36,50.51,20.91,91.03,6.02,116.65,pomegranate
97.34,19.21,36.8,26.02,64.34,7.32,139.37,coffee
15.66,69.92,18.88,18.05,26.79,5.44,168.31,pigeonpeas
121.4,33.25,29.93,22.43,53.49,7.44,194.64,coffee
9.69,163.21,179.78,23.03,81.87,6.96,50.13,grapes
73.32,31.55,24.65,28.04,84.51,7.03,79.57,cotton
16.64,8.59,31.05,18.0,86.31,5.83,118.36,pomegranate
42.77,62.1,54.35,31.28,91.78,6.64,131.21,papaya
17.43,151.23,202.41,20.88,91.25,6.56,109.47,apple
27.24,65.71,15.09,22.42,77.8,7.45,76.0,blackgram
17.71,66.11,19.77,20.08,62.95,5.82,167.72,pigeonpeas
82.39,21.94,43.8,22.66,89.96,5.56,22.15,watermelon
33.9,62.28,43.79,32.5,92.93,6.61,150.76,papaya
25.04,57.82,26.94,28.49,65.64,7.48,78.44,blackgram
19.76,164.59,179.01,26.39,88.66,5.84,82.89,grapes
10.13,63.12,10.38,26.08,70.73,6.03,66.01,lentil
80.32,53.82,36.9,24.65,81.35,6.45,258.81,rice
108.15,19.7,29.27,25.53,54.51,6.93,180.15,coffee
61.26,75.02,57.82,35.54,90.97,6.45,125.54,papaya
42.63,68.94,87.51,18.59,17.95,7.25,85.31,chickpea
86.62,32.04,34.3,22.49,46.27,6.8,204.79,coffee
64.14,27.81,31.55,18.5,88.45,6.79,151.88,jute
18.76,35.21,23.09,25.5,74.84,7.14,38.39,mothbeans
8.18,19.99,42.19,18.96,84.86,7.29,117.83,pomegranate
56.33,46.57,31.85,31.05,91.27,7.73,158.58,papaya
18.69,59.16,30.41,23.57,42.44,5.92,101.91,pigeonpeas
27.49,123.95,188.86,24.63,93.94,5.93,120.1,apple
33.58,62.34,19.09,19.78,18.29,5.8,89.83,kidneybeans
19.1,14.17,5.58,19.13,89.03,6.89,139.28,orange
18.04,34.52,15.71,29.56,56.22,6.9,30.1,mothbeans
88.56,58.36,49.54,25.3,80.42,6.78,204.09,rice
19.94,41.76,11.85,24.76,72.87,6.65,39.02,mungbean
81.65,18.81,43.62,28.22,86.13,6.8,66.16,watermelon
10.78,24.39,38.45,24.81,91.97,5.67,136.49,pomegranate
14.61,16.06,34.16,23.78,91.24,5.84,152.83,coconut
29.8,4.48,38.42,25.91,93.77,5.69,213.57,coconut
81.48,37.27,38.53,23.63,72.7,7.12,157.6,jute
14.98,12.13,50.79,22.66,86.25,7.06,112.01,pomegranate
27.49,55.52,24.91,24.61,14.26,5.24,125.35,kidneybeans
14.6,28.92,17.64,31.0,66.93,7.23,58.59,mothbeans
76.22,53.6,43.51,26.14,85.55,6.25,163.17,jute
27.95,75.87,15.42,20.11,25.1,5.6,126.46,kidneybeans
81.1,34.1,27.05,23.33,90.35,6.27,174.87,rice
15.06,61.02,15.08,22.84,59.92,7.0,51.41,lentil
53.27,57.99,49.22,34.62,97.01,6.8,161.38,papaya
11.38,16.99,43.59,17.38,93.24,5.89,98.34,pomegranate
19.09,17.68,8.5,20.56,90.22,6.99,74.26,orange
54.11,66.01,79.19,21.12,17.17,7.78,85.74,chickpea
81.97,51.05,27.2,29.2,77.7,6.33,168.62,jute
14.68,12.46,32.48,20.36,91.54,6.82,112.82,pomegranate
97.43,58.85,17.16,24.04,69.78,6.37,92.2,cotton
31.33,44.03,13.39,29.04,53.87,7.01,53.83,mothbeans
17.74,41.65,21.77,23.51,92.69,6.37,58.83,mungbean
23.11,134.69,200.99,23.19,82.33,6.24,74.01,grapes
7.52,48.91,19.78,28.44,81.87,8.24,68.4,mungbean
33.98,68.46,15.15,32.47,54.45,6.91,48.69,lentil
102.04,35.43,17.53,23.95,76.71,7.32,86.95,cotton
24.01,57.98,14.78,23.38,13.86,6.52,86.99,kidneybeans
9.13,21.3,11.17,30.73,40.86,5.83,62.5,mango
90.33,17.3,50.99,28.62,94.57,5.89,10.0,muskmelon
24.78,81.84,22.13,19.06,21.0,5.07,117.09,kidneybeans
17.2,13.77,10.88,22.11,89.83,6.13,95.11,orange
25.87,53.83,24.66,22.99,40.48,4.92,129.94,pigeonpeas
76.05,48.44,18.82,25.89,82.68,6.02,43.91,maize
79.98,56.06,38.99,25.3,79.62,7.02,158.31,jute
141.06,30.48,35.94,26.18,62.98,7.01,132.45,coffee
104.61,59.71,20.11,25.13,87.57,5.96,105.58,cotton
55.26,63.48,34.37,21.16,61.9,6.44,95.03,maize
19.07,56.03,17.41,28.11,74.59,6.88,44.69,lentil
11.96,73.23,23.78,17.59,26.37,5.38,110.06,kidneybeans
18.95,15.67,47.84,19.53,84.35,6.09,120.38,pomegranate
59.26,46.03,68.95,34.71,86.95,6.42,165.4,papaya
80.15,37.18,44.62,24.4,79.0,6.43,219.59,rice
10.76,68.89,26.04,21.98,49.85,6.36,150.5,pigeonpeas
89.59,20.44,48.12,31.18,93.5,6.21,24.9,muskmelon
9.84,39.92,18.42,23.21,80.57,7.03,69.41,mungbean
16.06,61.42,13.4,21.32,25.67,5.93,138.49,kidneybeans
55.82,49.83,19.88,24.74,65.96,5.81,120.9,maize
79.16,61.76,46.17,23.16,89.67,6.69,206.16,jute
10.98,70.64,25.32,18.74,10.0,5.8,113.73,kidneybeans
47.93,49.51,92.04,14.01,21.16,7.86,58.18,chickpea
123.92,40.85,30.54,27.09,80.16,7.51,115.66,cotton
22.56,37.8,21.24,32.39,57.49,7.38,45.26,mothbeans
13.01,149.7,205.66,18.75,94.29,6.27,114.87,apple
54.55,58.89,53.52,36.35,94.18,7.2,147.37,papaya
17.44,12.72,41.62,20.35,85.29,7.28,95.55,pomegranate
110.82,40.59,16.18,24.35,91.54,6.6,73.64,cotton
28.97,25.29,18.17,31.58,38.45,6.02,103.23,mango
20.35,139.44,195.51,26.04,79.16,4.94,63.64,grapes
28.08,25.95,38.16,30.62,56.8,4.69,143.38,mango
46.47,40.55,33.3,23.47,49.0,6.6,177.92,coffee
107.55,28.69,29.0,24.81,51.08,6.79,145.39,coffee
133.86,35.16,26.23,28.21,83.82,7.22,83.39,cotton
10.07,53.93,3.77,26.11,48.12,7.18,50.45,mothbeans
22.78,14.23,31.19,25.63,97.33,6.47,171.67,coconut
17.51,15.37,28.47,29.42,92.57,5.58,223.56,coconut
12.37,16.85,33.28,30.07,97.93,6.25,120.93,coconut
17.98,121.45,196.49,21.19,97.55,5.43,114.54,apple
19.47,21.91,12.03,25.34,83.6,6.88,129.61,orange
13.89,25.63,24.36,30.23,58.12,5.85,147.14,mango
7.73,23.53,36.34,32.58,57.31,5.31,127.32,mango
24.62,15.04,6.91,21.66,90.98,7.78,91.62,orange
105.95,83.7,41.54,28.22,76.98,5.85,133.94,banana
9.91,127.74,184.5,22.82,88.66,6.07,110.2,apple
20.78,138.01,222.39,22.83,87.92,5.67,89.93,grapes
44.16,54.83,27.18,27.18,72.28,7.89,74.85,blackgram
25.28,40.64,20.02,20.98,26.55,5.19,106.71,kidneybeans
21.43,130.25,185.2,17.23,83.72,6.09,60.73,grapes
109.53,72.9,16.58,23.13,75.63,7.41,72.54,cotton
9.96,48.34,15.48,19.1,61.6,7.15,32.64,lentil
66.32,83.95,69.19,26.29,79.1,6.05,93.82,banana
15.41,64.79,8.53,31.93,50.76,7.32,51.6,mothbeans
3.32,153.26,204.89,22.66,91.81,5.97,104.04,apple
71.46,48.11,41.78,23.82,85.8,6.25,181.54,jute
9.73,72.93,24.0,22.2,74.33,6.07,23.58,lentil
95.42,26.06,28.64,26.84,56.96,7.21,198.45,coffee
16.88,17.14,15.19,21.76,92.64,6.96,128.56,orange
15.61,53.06,26.53,22.51,54.85,6.82,47.03,lentil
45.18,61.71,13.78,28.97,66.1,8.56,65.24,blackgram
99.27,84.35,13.12,25.38,78.43,6.65,83.4,banana
32.36,61.0,8.8,23.02,16.89,6.1,65.6,kidneybeans
13.68,16.0,44.22,28.5,89.09,5.56,116.05,pomegranate
74.61,39.45,36.97,24.67,81.61,7.08,163.41,jute
27.27,60.04,56.89,31.33,89.49,5.95,184.75,papaya
25.06,67.56,27.27,21.99,64.56,6.44,46.11,lentil
13.11,22.73,34.71,28.57,95.77,5.97,211.52,coconut
22.41,61.53,18.37,25.02,29.04,5.05,121.59,kidneybeans
14.84,54.04,17.26,20.54,24.57,5.42,96.74,kidneybeans
30.12,44.13,13.41,32.26,51.87,6.93,74.7,mothbeans
38.96,61.6,56.19,34.68,93.72,6.5,162.86,papaya
31.78,78.21,79.0,18.97,14.36,7.38,96.5,chickpea
94.33,23.78,49.72,22.28,87.79,6.3,26.63,watermelon
27.79,31.01,25.72,33.36,47.6,5.18,91.56,mango
12.39,21.67,29.04,28.97,52.71,5.68,95.21,mango
91.16,45.79,20.22,23.63,48.67,6.18,64.54,maize
82.65,85.23,36.36,25.94,82.0,5.41,137.11,banana
54.13,41.38,29.87,24.63,77.46,5.69,293.63,rice
11.79,19.61,15.14,30.87,58.17,6.67,49.55,mothbeans
23.02,127.78,192.54,20.03,82.3,6.5,98.0,apple
25.01,78.17,28.69,18.92,13.04,5.49,110.21,kidneybeans
22.31,64.56,18.31,24.44,58.91,7.01,68.96,lentil
33.29,80.92,76.5,19.87,17.3,7.23,96.22,chickpea
22.58,70.11,30.2,23.21,22.14,6.17,84.35,kidneybeans
95.56,58.86,20.73,23.59,82.15,6.99,95.34,cotton
34.05,59.67,30.91,30.1,53.53,5.94,140.06,pigeonpeas
55.99,72.61,76.05,21.09,14.33,7.89,87.39,chickpea
38.67,57.25,90.07,18.64,10.0,7.72,69.29,chickpea
90.95,11.52,41.16,28.87,91.33,5.73,29.78,muskmelon
14.08,126.65,204.23,23.54,83.73,6.88,62.38,grapes
24.14,71.98,21.37,22.72,68.6,6.77,54.34,lentil
16.47,160.8,190.68,24.05,94.53,6.03,102.94,apple
20.54,57.75,21.26,28.63,78.45,6.82,63.53,mungbean
27.0,62.84,13.22,25.2,60.57,5.48,164.34,pigeonpeas
62.31,73.38,84.01,13.6,13.29,6.91,67.58,chickpea
136.6,57.53,18.16,24.46,73.41,7.1,85.49,cotton
12.97,73.78,72.46,13.51,18.56,7.99,77.25,chickpea
3.96,74.68,21.29,29.03,87.26,4.55,218.99,pigeonpeas
17.19,107.73,219.17,23.82,81.23,6.45,76.33,grapes
11.56,138.46,185.62,21.44,90.88,6.01,104.71,apple
28.9,66.24,18.08,20.46,15.99,6.74,72.85,kidneybeans
42.49,63.73,19.75,33.55,68.05,6.91,60.5,blackgram
48.95,50.68,13.57,23.58,62.8,7.08,69.71,blackgram
21.85,79.64,14.92,29.17,50.0,5.96,200.89,pigeonpeas
89.78,27.55,28.32,25.23,52.01,6.29,158.97,coffee
13.54,80.71,13.12,19.15,68.05,6.49,50.82,lentil
123.02,42.48,14.02,24.7,81.01,7.74,67.5,cotton
22.04,21.56,14.42,21.62,93.93,6.85,96.15,orange
4.69,20.08,42.95,27.19,90.63,6.89,104.09,pomegranate
18.03,13.68,15.7,25.51,92.32,6.49,91.61,orange
15.95,118.79,208.91,22.64,93.2,5.75,108.81,apple
22.43,60.29,23.62,25.45,77.85,6.96,75.51,mothbeans
108.83,26.33,33.38,23.04,58.58,7.12,82.64,coffee
16.85,94.38,20.81,22.84,47.36,7.59,25.82,lentil
96.2,49.42,38.55,24.18,66.54,6.15,89.01,maize
79.58,34.66,15.19,23.96,52.26,6.52,84.41,maize
7.29,10.11,47.86,20.17,87.31,5.65,96.9,pomegranate
110.35,19.52,45.67,24.05,90.51,6.28,21.87,muskmelon
85.12,47.75,26.54,27.17,69.46,6.31,45.64,maize
22.6,51.73,16.13,23.02,88.02,5.67,43.24,mungbean
93.53,40.8,40.75,23.43,78.74,6.68,155.43,jute
87.19,37.47,15.01,28.74,63.47,6.41,111.1,maize
13.78,75.25,21.69,23.52,57.66,6.95,22.53,lentil
38.93,71.48,63.29,15.62,10.03,7.37,114.65,chickpea
13.12,39.07,17.46,23.9,79.16,7.05,28.39,mungbean
17.97,15.19,39.23,27.99,90.76,5.49,160.02,coconut
21.02,21.22,51.57,27.23,90.06,5.67,190.64,coconut
118.12,70.72,19.81,23.57,84.33,6.76,81.71,cotton
22.69,79.0,17.05,14.37,24.72,5.38,81.21,kidneybeans
37.74,70.67,88.14,16.59,23.46,7.16,79.57,chickpea
30.02,48.86,15.52,30.97,50.83,7.12,40.45,mothbeans
95.62,16.63,48.84,24.7,66.31,6.3,184.91,coffee
55.89,54.58,12.25,25.71,64.46,7.32,79.1,blackgram
93.31,48.04,18.9,27.36,84.64,6.65,87.46,cotton
59.23,62.44,19.34,26.35,67.74,6.53,102.09,maize
14.33,55.64,10.74,26.1,58.96,6.42,45.28,mothbeans
13.64,75.98,7.76,25.94,56.21,7.53,48.42,lentil
21.06,60.4,24.19,21.26,23.95,5.44,61.93,kidneybeans
87.34,64.56,51.57,27.56,85.96,5.26,128.09,banana
111.32,13.76,52.9,23.47,85.91,6.95,26.59,watermelon
22.4,139.66,202.2,25.57,78.8,5.85,72.88,grapes
20.06,55.5,17.41,24.1,67.15,6.34,63.95,lentil
55.29,66.19,12.95,22.74,53.22,6.41,88.68,blackgram
86.06,65.86,41.75,24.52,81.63,5.44,233.94,rice
7.96,25.97,36.97,19.18,82.94,7.44,82.21,pomegranate
28.63,27.99,30.08,34.27,38.55,5.16,62.68,mango
11.56,14.0,33.53,25.35,95.76,5.79,204.0,coconut
119.22,39.57,21.57,23.34,84.4,7.03,73.69,cotton
7.49,43.29,8.15,30.25,32.35,6.82,10.0,mothbeans
16.47,55.32,21.26,25.05,84.96,7.09,45.18,mungbean
22.67,58.21,10.71,18.61,47.21,6.64,41.49,lentil
21.99,100.86,197.67,20.53,81.19,6.49,74.58,grapes
22.18,58.19,15.73,31.75,62.36,5.66,151.84,pigeonpeas
86.27,83.26,44.97,29.36,85.24,6.33,111.12,banana
80.05,44.35,21.48,18.96,57.23,6.9,65.29,maize
136.79,101.84,50.12,27.77,85.44,5.83,91.87,banana
88.99,15.83,55.51,29.1,89.88,6.06,31.57,muskmelon
24.31,160.77,189.59,23.7,80.91,5.02,65.34,grapes
10.44,68.69,24.18,18.92,71.56,7.31,60.31,lentil
95.28,14.13,56.97,26.53,84.06,7.2,41.82,watermelon
94.37,88.99,31.25,29.36,84.21,5.95,100.46,banana
7.51,120.5,192.03,21.99,91.56,5.85,119.12,apple
16.21,30.6,32.31,29.38,61.35,5.95,109.6,mango
23.7,56.91,20.03,29.86,69.38,7.03,56.23,mothbeans
101.76,84.36,40.61,26.23,79.18,6.7,63.39,banana
18.28,6.72,11.95,18.68,92.3,6.78,93.83,orange
19.81,15.91,9.53,21.67,91.65,7.35,119.13,orange
20.22,132.4,189.68,23.88,92.23,5.83,101.79,apple
79.51,41.41,39.51,25.92,83.63,6.83,165.5,jute
17.68,28.09,23.78,31.87,43.9,5.73,112.56,mango
71.6,54.47,46.1,23.96,82.59,7.04,211.34,rice
9.28,139.45,196.01,25.67,89.46,4.93,59.51,grapes
38.32,62.28,59.21,21.24,10.64,7.42,121.48,chickpea
54.92,66.63,46.35,34.01,91.01,6.99,149.24,papaya
104.32,27.18,33.57,23.63,64.23,6.03,96.97,maize
105.27,13.73,41.85,26.37,90.63,6.26,46.66,muskmelon
56.43,66.21,50.62,34.78,99.64,7.38,131.94,papaya
75.31,45.31,53.41,26.62,89.92,6.5,172.88,jute
56.9,38.77,9.19,20.07,73.43,5.83,163.97,maize
12.97,123.37,188.79,20.54,90.55,6.0,125.99,apple
32.09,63.98,4.38,25.55,47.36,5.19,129.39,pigeonpeas
123.65,26.52,27.37,24.9,63.09,6.94,226.2,coffee
9.66,128.95,204.38,22.91,96.06,6.38,108.72,apple
18.88,3.11,33.67,26.92,98.04,6.05,138.03,coconut
15.59,60.03,19.25,25.3,61.85,7.17,50.6,lentil
18.71,33.86,30.9,32.42,58.25,5.99,75.59,mango
82.67,11.45,63.7,28.09,91.27,5.92,29.48,muskmelon
92.35,54.05,43.34,26.23,77.54,7.44,176.08,jute
142.24,67.48,16.48,20.0,69.51,7.43,79.06,cotton
19.26,21.7,11.17,23.76,86.99,7.15,98.98,orange
17.27,19.47,38.38,16.37,96.38,6.46,136.62,pomegranate
45.65,83.36,17.67,29.21,66.54,8.3,36.51,blackgram
70.24,42.13,34.08,22.27,82.24,5.98,245.82,rice
30.45,41.73,20.27,28.15,47.98,5.98,56.46,mothbeans
75.02,13.47,53.97,29.29,89.96,6.28,19.03,muskmelon
90.84,17.92,69.21,22.41,95.2,7.5,43.54,watermelon
11.41,72.81,13.76,23.38,56.75,7.31,33.45,lentil
22.42,71.0,20.79,26.69,36.05,6.67,222.29,pigeonpeas
23.32,128.95,195.69,25.31,79.03,5.83,71.82,grapes
28.04,37.23,28.26,28.94,59.87,7.68,27.77,mothbeans
16.18,18.95,46.94,19.17,85.97,6.55,72.14,pomegranate
56.44,48.3,45.17,21.76,81.8,7.23,222.2,jute
93.81,18.96,42.59,21.37,91.21,6.86,45.99,watermelon
87.67,24.9,28.68,26.44,54.74,6.47,151.21,coffee
51.64,50.77,45.93,25.89,77.44,6.25,187.36,jute
15.99,138.04,192.48,20.61,91.78,6.04,91.45,apple
64.33,60.61,50.83,24.53,78.52,6.94,188.77,jute
26.43,10.41,13.29,27.04,91.99,6.67,111.85,orange
20.87,16.0,25.0,29.64,43.63,5.9,91.79,mango
22.48,87.24,20.04,19.43,18.86,5.61,132.46,kidneybeans
95.42,13.54,49.45,20.78,84.62,7.25,35.83,watermelon
18.6,86.04,29.76,35.88,46.41,5.98,89.33,pigeonpeas
101.92,42.33,1.5,24.8,76.78,7.34,87.8,cotton
12.77,16.04,5.67,16.22,94.18,7.23,117.01,orange
118.98,15.66,60.58,25.53,79.88,7.42,59.86,watermelon
105.06,15.16,46.88,31.94,94.82,6.1,30.71,muskmelon
120.47,59.15,16.58,24.81,79.65,7.07,66.91,cotton
30.12,82.81,13.91,17.57,13.45,5.58,114.33,kidneybeans
29.84,67.62,83.29,21.08,16.88,7.12,63.45,chickpea
34.9,68.49,23.62,36.15,71.62,7.68,60.41,blackgram
2.0,81.59,23.56,18.77,60.14,7.68,67.72,lentil
77.06,48.84,27.03,24.16,84.02,6.53,156.57,jute
14.31,23.12,41.48,20.97,93.52,6.69,136.93,pomegranate
109.92,20.2,52.85,26.68,91.4,6.37,30.5,muskmelon
21.32,16.66,29.14,26.66,89.24,6.04,191.19,coconut
111.4,73.6,63.72,27.28,77.31,6.23,122.86,banana
92.19,26.01,66.18,31.66,91.42,5.69,10.0,muskmelon
109.32,91.48,46.94,24.53,85.1,5.85,139.61,banana
59.61,33.36,21.8,26.14,78.47,6.07,117.36,maize
28.0,68.75,25.15,31.93,69.78,6.92,56.84,lentil
18.93,126.41,207.34,20.46,81.88,6.2,70.5,grapes
115.19,23.87,28.81,23.02,56.32,7.07,163.36,coffee
34.91,66.74,61.31,16.92,13.95,7.04,83.05,chickpea
30.33,52.31,6.93,26.41,81.63,6.94,10.0,mungbean
5.75,65.69,19.82,23.84,63.84,6.92,61.34,lentil
27.09,65.57,25.58,22.43,77.28,7.66,61.1,blackgram
107.28,73.51,53.06,25.54,76.41,5.58,97.49,banana
106.72,52.78,41.13,24.64,79.01,7.17,162.74,jute
25.35,20.32,26.06,32.99,43.91,5.65,126.52,mango
18.45,40.19,18.44,32.8,61.02,7.32,21.68,mothbeans
24.04,42.44,19.22,33.01,43.57,7.77,43.56,mothbeans
105.85,21.97,59.76,31.04,86.22,6.64,22.15,watermelon
28.47,69.68,14.06,27.45,75.6,7.51,70.37,blackgram
28.2,14.45,13.14,24.53,91.15,7.53,66.37,orange
108.84,14.66,43.61,28.06,78.55,6.35,49.93,watermelon
13.72,147.17,184.94,18.36,97.61,5.34,115.76,apple
18.54,119.32,169.27,19.92,95.34,5.74,110.46,apple
84.06,29.88,34.01,21.41,49.03,7.16,181.9,coffee
26.02,79.03,20.08,31.51,64.18,6.68,79.26,blackgram
79.68,20.77,41.34,23.98,92.33,5.8,22.01,watermelon
95.91,43.02,23.71,24.83,78.07,6.98,82.14,cotton
90.8,55.59,22.25,23.31,64.5,5.92,76.58,maize
35.19,92.39,18.76,24.79,63.93,7.36,93.1,blackgram
15.53,134.43,199.03,24.28,79.8,5.74,74.31,grapes
32.08,63.92,60.06,19.64,16.01,6.89,93.18,chickpea
18.55,153.06,190.12,22.22,83.91,5.71,72.29,grapes
30.05,16.46,31.81,24.11,93.07,5.8,154.27,coconut
105.4,93.87,40.35,26.17,77.1,6.06,97.82,banana
13.79,37.36,26.48,30.83,87.92,7.24,34.81,mungbean
39.79,40.84,17.5,27.81,56.96,6.96,75.68,mothbeans
121.94,36.88,21.56,22.75,78.62,7.31,98.18,cotton
24.18,85.09,18.69,17.46,17.09,5.16,89.3,kidneybeans
124.58,46.51,21.02,20.23,78.14,6.63,66.82,cotton
100.72,11.62,52.69,23.63,90.23,6.89,37.56,watermelon
21.13,16.17,37.54,26.77,94.05,5.66,185.77,coconut
23.36,140.41,223.77,21.63,84.77,5.86,87.86,grapes
15.58,145.21,204.2,21.36,96.8,6.52,126.99,apple
44.7,54.76,45.98,34.75,91.08,5.98,143.79,papaya
88.82,49.81,33.77,23.58,79.53,6.11,268.98,rice
114.54,16.19,59.56,23.56,86.34,6.6,44.32,watermelon
95.65,30.17,30.33,26.53,45.85,7.46,173.13,coffee
